,geotype,spectrum_limitations,id,aantal,NUMPOINTS,Shape_Area,pop_density_km2,Shape_Area_km2,Scenario,Strategy,Macro.cell.site.density,Small.cell.site.density,Existing.capacity,Spectrum.capacity,Small.cells.capacity,Capacity.surplus,Cost.per.km2,RAN.macro,RAN.small.cells,Backhaul.macro,Civil.works.macro,Civil.works.small,Cost
68,Rural 1,all_spectrum,6136,6905,7,4825633,1430.9,4.8,Scenario 3 (300 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-9761.732352,26621.424,20317.104,0.0,1146.24,5158.08,0.0,127782.8352
69,Rural 1,all_spectrum,6136,6905,7,4825633,1430.9,4.8,Scenario 1 (30 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-613.423872,26621.424,20317.104,0.0,1146.24,5158.08,0.0,127782.8352
70,Rural 1,all_spectrum,6136,6905,7,4825633,1430.9,4.8,Scenario 3 (300 Mbps),Hybrid,0.32,6.7789808,61.2,22.76976,2033.69424,0.0,120715.3722,20317.104,15176.44327,1146.24,5158.08,78917.50498,579433.7868
71,Rural 1,all_spectrum,6136,6905,7,4825633,1430.9,4.8,Scenario 3 (300 Mbps),Small Cells,0.0,6.85488,61.2,0.0,2056.464,0.0,95147.44812,0.0,15346.3626,0.0,0.0,79801.08552,456707.751
72,Rural 1,all_spectrum,2865,1560,1,1087832,1434.045,1.1,Scenario 2 (100 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,621.91824,628.9182165,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,90034.10237
73,Rural 1,all_spectrum,2865,1560,1,1087832,1434.045,1.1,Scenario 1 (30 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,127.79664,1172.451976,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,90034.10237
74,Rural 1,all_spectrum,2865,1560,1,1087832,1434.045,1.1,Scenario 2 (100 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-684.110064,26621.424,20317.104,0.0,1146.24,5158.08,0.0,29283.5664
75,Rural 1,all_spectrum,2865,1560,1,1087832,1434.045,1.1,Scenario 2 (100 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,644.688,603.8714805,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,60750.53597
76,Rural 1,all_spectrum,2865,1560,1,1087832,1434.045,1.1,Scenario 1 (30 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,150.5664,1147.40524,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,60750.53597
77,Rural 1,all_spectrum,2865,1560,1,1087832,1434.045,1.1,Scenario 3 (300 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-2237.063664,26621.424,20317.104,0.0,1146.24,5158.08,0.0,29283.5664
